,BusinessName,X,Y,FullAddress,City,ZipCode,Neighborhood,Latitude,Longitude
13576,SSSDUDE-NUTZ,-93.23639699335699,44.9801562920874,317 14TH AVE SE,Minneapolis,55414.0,Marcy Holmes,44.98016,-93.2364
28084,BILL'S IMPORTED FOODS,-93.289120060613,44.9480645252843,721 LAKE ST W,Minneapolis,55408.0,South Uptown,44.94806,-93.28912
1342,DOMINOS PIZZA #1908,-93.2368025620465,45.007988130956896,1901 JOHNSON ST NE,Minneapolis,55418.0,Windom Park,45.00799,-93.2368
41778,MARISSA'S SUPERMARKET,-93.27834323266079,44.9521768042451,2750 NICOLLET AVE,Minneapolis,55408.0,Whittier,44.95218,-93.27834
14628,PAC FOOD TRUCK,-93.28077788177809,44.945016533091795,116 32ND ST E,Minneapolis,55408.0,Lyndale,44.94502,-93.28078000000001
47904,ONE STOP,-93.3016963838608,44.999699795744895,1604 WEST BROADWAY,Minneapolis,55411.0,Jordan,44.9997,-93.3017
34615,CROSSTOWN QWIK N SERVE,-93.30904599437531,44.8940665372475,6004 PENN AVE S,Minneapolis,55419.0,Armatage,44.89407,-93.30905
47831,OLYMPIC CAFE,-93.2921551903786,44.9988868131003,923 WEST BROADWAY,Minneapolis,55411.0,Near - North,44.99889,-93.29216
20514,HILLEL,-93.23399512556101,44.97888913812199,1521 UNIVERSITY AVE SE,Minneapolis,55414.0,University of Minnesota,44.97889,-93.234
2606,KOKAPELLI,-93.2752707446575,44.9804060509745,100 6TH ST N,Minneapolis,55403.0,Downtown West,44.98041,-93.27526999999999
16766,RITZ THEATER,-93.2622601820895,45.0012148977115,345 13TH AVE NE,Minneapolis,55413.0,Sheridan,45.00121,-93.26226
5022,CARIBOU COFFEE #164,-93.27178061370891,44.9784060170279,50 6TH ST S #164,Minneapolis,55402.0,Downtown West,44.97841,-93.27178
43152,SUPERAMERICA #4185,-93.23021542807051,45.0353868328611,1820 37TH AVE NE,Minneapolis,55421.0,Waite Park,45.03539,-93.23021999999999
43001,SUPERAMERICA #4060,-93.2897400508726,44.9480646422678,801 LAKE ST W,Minneapolis,55408.0,South Uptown,44.94806,-93.28974000000001
4464,Y'ALL COME BACK SALOON,-93.277066430198,44.976826640062,830 HENNEPIN AVE,Minneapolis,55403.0,Downtown West,44.97683,-93.27707
40982,GAS PLUS 5,-93.318495883092,44.901319462143896,5601 XERXES AVE S,Minneapolis,55410.0,Armatage,44.90132,-93.3185
1775,LAST CALL,-93.27324865761422,44.9804737399005,26 5TH ST N,Minneapolis,55403.0,Downtown West,44.980470000000004,-93.27325
23060,ALIMAMA SAMBUSA,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
22918,IPIEROGI,-93.2623177398447,44.9013598492301,5601 CHICAGO AVE,Minneapolis,55417.0,Diamond Lake,44.90136,-93.26231999999999
22947,DRISCOLL'S BERRY TRUCK,-93.26355510896151,45.012321332914105,2400 UNIVERSITY AVE NE,Minneapolis,55418.0,Bottineau,45.01232,-93.26356
35201,FOXY FALAFEL,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
13418,ADAMS GYROS,-93.26497619343529,44.982224676834,150 2ND AVE S,Minneapolis,55401.0,Downtown West,44.98222,-93.26498000000001
49633,WHOLESOUL A LAVENDER & SAGE EATERY,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
37713,UPTOWN HUB,-93.28645080927271,44.9498262907265,2905 GARFIELD AVE,Minneapolis,55408.0,Whittier,44.94983,-93.28645
37761,URBAN BEAN COFFEE,-93.2902765032007,44.9486606629019,822 LAKE ST W,Minneapolis,55408.0,Lowry Hill East,44.94866,-93.29028000000001
19333,ALOHA POKE CO,-93.2744414092074,44.9759212277384,811 LASALLE AVE,Minneapolis,55402.0,Downtown West,44.97592,-93.27444
14802,THE CAFE,-93.31843668591141,44.947484920198896,3033 EXCELSIOR BLVD,Minneapolis,55416.0,West Calhoun,44.94748,-93.31844
12287,PIZZA HUT  # 30231,-93.23487554370969,44.9810333317118,1408 5TH ST SE,Minneapolis,55414.0,Marcy Holmes,44.98103,-93.23488
14811,ORIGINAL HOCKEY MOM BROWNIES,-93.2871047172225,44.95227532271029,610 28TH ST W,Minneapolis,55408.0,Whittier,44.95228,-93.2871
40828,GALE MANSION,-93.2749116988182,44.9613378861372,2115 STEVENS AVE,Minneapolis,55404.0,Whittier,44.96134,-93.27490999999999
49278,WHITE CASTLE #26,-93.2801874972953,44.948639267839795,100 LAKE ST W,Minneapolis,55408.0,Whittier,44.948640000000005,-93.28019
11160,HEWING HOTEL,-93.23472893685872,44.97301787586579,300 WASHINGTON AVE N,Minneapolis,55401.0,University of Minnesota,44.97302,-93.23473
49012,TARGET CAFE,-93.2729955150621,44.97799501597589,33 6TH ST S,Minneapolis,55402.0,Downtown West,44.978,-93.273
4366,WORLD STREET KITCHEN,-93.2875238316082,44.9525249601711,2743 LYNDALE AVE S,Minneapolis,55408.0,Whittier,44.95252,-93.28752
16496,SO GOOD SO YOU,-93.2749924582606,44.9747868200634,950 NICOLLET MALL,Minneapolis,55402.0,Downtown West,44.974790000000006,-93.27499
23945,THE WANDERING MUG,-93.2744414092074,44.9759212277384,811 LASALLE AVE,Minneapolis,55402.0,Downtown West,44.97592,-93.27444
12114,PHO TAU BAY RESTAURANT,-93.2775122856331,44.9507298707759,2837 NICOLLET AVE,Minneapolis,55408.0,Whittier,44.95073,-93.27750999999999
369,ANGRY CATFISH BICYCLE,-93.2324955705522,44.9265190478592,4208 28TH AVE S,Minneapolis,55406.0,Standish,44.926520000000004,-93.2325
15325,TACO CAT,-93.2607634675536,44.9493082660126,920 LAKE ST E,Minneapolis,55407.0,Midtown Phillips,44.94931,-93.26076
16962,"MINNEAPOLIS PIZZA HALAL, INC",-93.26429190176759,44.9481339073158,717 LAKE ST E,Minneapolis,55407.0,Central,44.94813,-93.26429
44999,BUTCHER SALT - MARJ,-93.2809494743705,45.0097098620815,208 29TH AVE N,Minneapolis,55411.0,Hawthorne,45.00971,-93.28095
6786,MINNEAPOLIS MARRIOTT CITY CENTER,-93.2730629668618,44.977607605082795,30 7TH ST S,Minneapolis,55402.0,Downtown West,44.97761,-93.27306
47683,COCINA SANTIAGO APOSTOL,-93.2528943424457,44.9479272868462,1515 LAKE ST E,Minneapolis,55407.0,Powderhorn Park,44.94793,-93.25289000000001
46058,GIGI'S CAFE,-93.2903900574392,44.9379167158704,824 36TH ST W,Minneapolis,55408.0,South Uptown,44.93792,-93.29039
24672,MEDUSA NIGHT CLUB & LOUNGE,-93.2549806985577,44.9892921871552,400 1ST AVE N,Minneapolis,55401.0,Nicollet Island - East Bank,44.989290000000004,-93.25498
41621,MANSION AT UPTOWN,-93.29786588214941,44.949798813772496,2901 HENNEPIN AVE,Minneapolis,55408.0,Lowry Hill East,44.9498,-93.29786999999999
48151,ORPHEUM THEATRE,-93.2779181211223,44.9767211329901,910 HENNEPIN AVE,Minneapolis,55403.0,Downtown West,44.97672,-93.27792
43359,SURDYK'S,-93.2561268787916,44.98846316527571,303 HENNEPIN AVE E,Minneapolis,55414.0,Nicollet Island - East Bank,44.988459999999996,-93.25613
2928,MESA PIZZA,-93.2360169880255,44.9809688402234,1323 4TH ST SE,Minneapolis,55414.0,Marcy Holmes,44.98097,-93.23602
1625,DOUBLETREE HOTEL,-93.27680205690831,44.9731368338098,1101 LASALLE AVE,Minneapolis,55403.0,Downtown West,44.97314,-93.2768
35394,FRANKLIN TERRACE CAFE,-93.2804486088023,44.963453354920794,122 FRANKLIN AVE W,Minneapolis,55404.0,Steven's Square - Loring Heights,44.96345,-93.28045
1746,DOWNTOWN RESIDENCE INN,-93.2744414092074,44.9759212277384,45 8TH ST S,Minneapolis,55402.0,Downtown West,44.97592,-93.27444
37363,SUBWAY SANDWICHES,-93.2876087906745,44.906155031824,5317 LYNDALE AVE S,Minneapolis,55419.0,Tangletown,44.90616,-93.28761
39984,CUPPA JAVA,-93.3086456592706,44.9732979150569,400 PENN AVE S,Minneapolis,55405.0,Bryn - Mawr,44.9733,-93.30865
43035,SUPERAMERICA #4135,-93.2878399532483,44.9302027031428,4001 LYNDALE AVE S,Minneapolis,55409.0,King Field,44.9302,-93.28784
7778,PEPPERJAX GRILL PHILLY EXPRESS,-93.2182983272057,44.9926968127796,336 HOOVER ST NE,Minneapolis,55413.0,Mid - City Industrial,44.9927,-93.2183
