name,categories,coordinates
World Street Kitchen,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.952656, 'longitude': -93.287855}"
Cave Vin,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.90186, 'longitude': -93.31845}"
Gnocchi Me,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9954314048148, 'longitude': -93.2617611450593}"
Kimchi Tofu House,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 44.97328, 'longitude': -93.226937}"
Betty Danger's Country Club,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.01343, 'longitude': -93.27132}"
Samba Taste of Brazil,"[{'alias': 'brazilian', 'title': 'Brazilian'}]","{'latitude': 44.9242526454085, 'longitude': -93.4137918475191}"
Taco Libre,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.86353, 'longitude': -93.35409}"
Mac's Fish & Chips,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]","{'latitude': 44.905205, 'longitude': -93.287259}"
Kowloon Restaurant,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.9737749910049, 'longitude': -93.2244259296452}"
Nashville Coop,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.932585, 'longitude': -93.166688}"
Ingebretsen's Nordic Marketplace,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}]","{'latitude': 44.948089, 'longitude': -93.251029}"
Moroccan Flavors,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 44.9492188827136, 'longitude': -93.2606295085205}"
Raag,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.912758, 'longitude': -93.328287}"
Element Wood Fire Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9986018, 'longitude': -93.2676826}"
All Square,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.92891, 'longitude': -93.2196}"
El Travieso Taqueria,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9126869, 'longitude': -93.318676}"
Taco Taxi,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9483151733875, 'longitude': -93.25320571661}"
Christos Greek Restaurant,"[{'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9544487, 'longitude': -93.2783203}"
801 Chophouse,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.975353, 'longitude': -93.272562}"
The Capital Grille,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.9770069029009, 'longitude': -93.2759910821915}"
Tea House Chinese Restaurant,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 44.973925, 'longitude': -93.221441}"
Burrigato,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.979429, 'longitude': -93.234585}"
The Cajun House,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 44.97221, 'longitude': -93.22004}"
Its Greek To Me Taverna E Parea,"[{'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.948491, 'longitude': -93.287854}"
Maya Cuisine,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 45.00741, 'longitude': -93.24788}"
Mama Sahara,"[{'alias': 'somali', 'title': 'Somali'}]","{'latitude': 44.98069218687, 'longitude': -93.3043832704425}"
Wrecktangle Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.98795, 'longitude': -93.27803}"
Tori 44,"[{'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 45.03523, 'longitude': -93.30892}"
The Herbivorous Butcher,"[{'alias': 'healthmarkets', 'title': 'Health Markets'}, {'alias': 'butcher', 'title': 'Butcher'}, {'alias': 'vegan', 'title': 'Vegan'}]","{'latitude': 44.9902328, 'longitude': -93.2539668}"
The Copper Hen,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.9566872, 'longitude': -93.2777087}"
Andale Taqueria Y Mercado,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.86342, 'longitude': -93.2787}"
American Bistro,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 44.9800339, 'longitude': -93.2602463}"
Ichigo Tokyo Crepes,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.9411691, 'longitude': -93.2782676}"
Old Southern BBQ Smokehouse,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.92111, 'longitude': -93.3287299}"
Dakota,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]","{'latitude': 44.97383422, 'longitude': -93.27541825}"
Wakame Sushi & Asian Bistro,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.946802, 'longitude': -93.321968}"
Red Wagon Pizza Co,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.904607, 'longitude': -93.308936}"
Khao Hom Thai,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 45.012627, 'longitude': -93.246936}"
Urban Eatery,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.950165, 'longitude': -93.315056}"
JJ’S Poke,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.9818582, 'longitude': -93.2349208}"
Thr3 Jack,"[{'alias': 'golf', 'title': 'Golf'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.98795, 'longitude': -93.27803}"
Yum! Kitchen and Bakery,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.9487499, 'longitude': -93.33051}"
Shifa Cafe,"[{'alias': 'somali', 'title': 'Somali'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'halal', 'title': 'Halal'}]","{'latitude': 44.94808, 'longitude': -93.21949}"
Union Hmong Kitchen,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'laotian', 'title': 'Laotian'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 45.00299, 'longitude': -93.24242}"
First Draft Taproom & Kitchen,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 44.985422, 'longitude': -93.2781}"
Scott Ja-Mamas,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.903856, 'longitude': -93.2783187}"
Pita King,"[{'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9628294314247, 'longitude': -93.2378235831857}"
The Bungalow Club,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]","{'latitude': 44.9486951565831, 'longitude': -93.2112926892329}"
Tilia,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.92464, 'longitude': -93.314127}"
Xin Wong,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.9163, 'longitude': -93.27758}"
Magic Noodle,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 44.9559349, 'longitude': -93.1564329}"
Sushi Takatsu,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 44.9760103, 'longitude': -93.2709216}"
Naf Naf Grill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'falafel', 'title': 'Falafel'}]","{'latitude': 44.97687, 'longitude': -93.26759}"
India Palace Uptown,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'buffets', 'title': 'Buffets'}]","{'latitude': 44.956095, 'longitude': -93.2966238}"
Cafe Ena,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.9194302, 'longitude': -93.2842393}"
The 1029 Bar,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.99809, 'longitude': -93.26814}"
